course_name,url_classCentral,end_url,provider_slug,summary,duration,entity_url,type,source,language
Be the Artist You Want to Work With,/course/creativelive-be-the-artist-you-want-to-work-with--128768,https://www.creativelive.com/class/be-the-artist-you-want-to-work-with-nigel-barker,creativelive,"Be the Artist You Want to Work With with Nigel Barker, Chase Jarvis",47 minutes,/provider/creativelive,free,classCentral,en
Basic construction materials,/course/swayam-basic-construction-materials-22914,https://onlinecourses.nptel.ac.in/noc24_ce06/preview,swayam,The course intends to provide basic information on the structure and properties of construction materials. The contents of the course will focus on a fundamental understanding of the structure of common materials. It will then introduce the different mat…,12 weeks,/university/iitm,free,classCentral,en
MongoDB for Java Developers,/course/mongodb-university-mongodb-for-java-developers-599,https://learn.mongodb.com/not-found,mongodb-university,"Learn everything you need to know to get started building a MongoDB-based app.    This course will go over basic installation, JSON, schema design, querying, insertion of data, indexing and working with language drivers. In the course, you will build a blo…",7-8 hours,/provider/mongodb-university,free,classCentral,en
مهارات الإتصال في العمل,/course/edraak-mh-r-t-l-ts-l-fy-laaml-2593,https://www.edraak.org/programs/AUB/BC100/2014_BC/,edraak,"The following is a list of some of the most common words used in the English language. The list is arranged by country, not by country. For more information, see: http://www.dailymail.co.uk/news/features/2013/01/29/30/how-do-you-speak-English-and-how-doe…",6 weeks,/university/aub,free,classCentral,en
Discovering Science: Atmospheric Chemistry,/course/discovering-science-atmospheric-chemistry-7742,https://www.futurelearn.com/courses/discovering-science-atmospheric-chemistry,futurelearn,"What can we learn about Earth, and other planets in and beyond our solar system, by studying their atmospheres?","2 weeks, 5 hours a week",/university/leeds,free,classCentral,en
Contract Law: From Trust to Promise to Contract,/course/business-law-harvard-university-contract-law-from-2633,https://www.edx.org/learn/business-law/harvard-university-contract-law-from-trust-to-promise-to-contract,edx,"Contracts are a part of our everyday life, arising in collaboration, trust, promise and credit. How are contracts formed? What makes a contract enforceable? What happens when one party breaks a promise?","8 weeks, 3-6 hours a week",/university/harvard,free,classCentral,en
Architecting on AWS - Online Course Supplement,/course/architecting-on-aws-online-course-supplement-72354,https://explore.skillbuilder.aws/learn/course/external/view/elearning/8319/architecting-on-aws-online-course-supplement,aws-skill-builder,"Enhance your AWS architecture skills with this 2-hour intermediate course by Amazon. It offers videos, resources, review questions, and a capstone lab to build a resilient, secure cloud infrastructure.",2 hours,/institution/aws,free,classCentral,en
Develop your venture,/course/openclassrooms-develop-your-venture-3727,https://openclassrooms.com/fr/courses/2976551-develop-your-venture,openclassrooms,"There you are: you have a venture idea, which seems reasonably good. Or not, and then, you may want to follow my first MOOC, Decode the entrepreneur's DNA, which will help you to find an idea.",10 hours,/university/ep,free,classCentral,en
Technical maintenance of aircraft and aircraft engines,/course/stepik-technical-maintenance-of-aircraft-and-aircraft-engines-10489,https://stepik.org/course/1795/promo,stepik,"In this course you will learn about civil aviation in the Russian economy, the role of an engineer of aircraft technical maintenance, and training facilities and benefits at Samara University","6 weeks, 4 hours a week",/university/samara,free,classCentral,en
"Start Kali Linux, Ethical Hacking and Penetration Testing!",/course/udemy-ethical-hacker-26381,https://www.udemy.com/course/ethical-hacker/,udemy,"Learn the basics of ethical hacking, penetration testing, web testing and wifi hacking in kali linux!",4 hours 13 minutes,/provider/udemy,free,classCentral,en
From Chemistry to Life,/course/world-science-u-from-chemistry-to-life-5213,https://worldscienceu.com/courses/from-chemistry-to-life-dimitar-sasselov/,worldscienceu,"To look for evidence of life on other planets, we have to adapt what we know about chemistry on Earth to aid our search. Astronomer Dimitar Sasselov explains how we can use what we already know to search for alien life in this Master Class.",,/university/harvard,free,classCentral,en
Introduction to Azure application delivery services,/course/microsoft-learn-introduction-to-azure-application-delivery-services-262638,https://learn.microsoft.com/en-us/training/paths/intro-to-azure-application-delivery-services/,microsoft-learn,"Module 1: This module explains what Azure Load Balancer does, how it works, and when you should choose to use Load Balancer as a solution to meet your organization's needs.In this module, you will:  Learn what Azure Load Balancer is and the functionality…",2 hours 14 minutes,/institution/microsoft,free,classCentral,en
The Modern Data Platform and LookML,/course/the-modern-data-platform-and-lookml-199744,https://www.cloudskillsboost.google/course_templates/226,cloudskillsboost,"Learn about databases, Looker, and LookML with Google's course. Build and maintain standard Looker data models and explore advanced features.",1 hour 45 minutes,/institution/google,free,classCentral,en
Getting started on classical Latin,/course/openlearn-history-the-arts-getting-started-on-classical-latin-95485,https://www.open.edu/openlearn/history-the-arts/getting-started-on-classical-latin/content-section-0,openlearn,"This free course, Getting started on classical Latin, has been developed in response to requests from learners who had had no contact with Latin before and who felt they would like to spend a ...",10 hours,/university/tou,free,classCentral,en
Stanford Medcast Episode 10: COVID-19 Mini-series - Impact of Wildfires,/course/stanford-medcast-episode-10-covid-19-mini-series--106740,https://stanford.cloud-cme.com/course/courseoverview,independent,"Stanford University offers an online course exploring the correlation between wildfire smoke and COVID-19, with insights on health impacts.",,/university/stanford,free,classCentral,en
MATLAB for Data Processing and Visualization,/course/matlab-for-data-processing-and-visualization-94383,https://matlabacademy.mathworks.com/details/matlab-for-data-processing-and-visualization/mlvi,matlab-academy,Create custom visualizations and automate your data analysis tasks.,8 hours,/institution/mathworks,free,classCentral,en
"Stay Creative, Focused and True to Yourself",/course/creativelive-stay-creative-focused-and-true-to-yo-128783,https://www.creativelive.com/class/stay-creative-focused-and-true-to-yourself-austin-kleon,creativelive,"Stay Creative, Focused and True to Yourself with Austin Kleon, Chase Jarvis",1 hour 12 minutes,/provider/creativelive,free,classCentral,en
Chemical Reaction Engineering II,/course/swayam-chemical-reaction-engineering-ii-12900,https://onlinecourses.nptel.ac.in/noc24_ch11/preview,swayam,his second level course on chemical reaction engineering will extensively cover design of fluid-solid catalytic and non- catalytic reactors.,12 weeks,/university/iitb,free,classCentral,en
Diagnostic Thinking,/course/mongodb-university-diagnostic-thinking-53389,https://learn.mongodb.com/courses/m112-diagnostic-thinking,mongodb-university,"The Diagnostic Thinking course will provide you with a general framework for diagnosing problems. As you work through lessons you'll define problem statements, identify appropriate information, form hypotheses, and test those hypotheses. After completing…",1 hour,/provider/mongodb-university,free,classCentral,en
MedTech: Digital Health and Wearable Technology,/course/medtech-digital-health-14405,https://www.futurelearn.com/courses/medtech-digital-health,futurelearn,Discover digital health and learn how wearable technology is transforming healthcare with this online medtech course.,"2 weeks, 5 hours a week",/university/leeds,free,classCentral,en
China’s Political and Intellectual Foundations: From Sage Kings to Confucius,/course/chinese-history-harvard-university-chinas-politic-941,https://www.edx.org/learn/chinese-history/harvard-university-chinas-political-and-intellectual-foundations-from-sage-kings-to-confucius,edx,"Learn about China’s origins, its integral early thinkers, and competing states and schools of thought.","15 weeks, 1-3 hours a week",/university/harvard,free,classCentral,en
AWS Managed Service (AMS) Advanced: Patch Orchestrator Deep Dive,/course/aws-managed-service-ams-advanced-patch-orchestrat-72512,https://explore.skillbuilder.aws/learn/course/external/view/elearning/6468/aws-managed-service-ams-advanced-patch-orchestrator-deep-dive,aws-skill-builder,"Learn to manage patch activities with Amazon's AMS Patch Orchestrator in this 1-2 hour intermediate course. Ideal for existing AMS customers, IT support, and security personnel.",1-2 hours,/institution/aws,free,classCentral,en
The Great Poem Series: Unbinding Prometheus,/course/openlearning-the-great-poem-series-unbinding-prometheus-2425,https://www.openlearning.com/courses/percyshelley-unbindingprometheus/,openlearning,"Jean-Jacques Rousseau wrote “Man is born free, but he is everywhere in chains.” Poet Percy Shelley believed words could be stronger than shackles, and wrote poems intended to free mankind from their chains.     Some have argued that poetry can do nothing--…",8 weeks,/provider/openlearning,free,classCentral,en
Meet your brain: a short introduction to neuroscience,/course/udemy-meet-your-brain-61233,https://www.udemy.com/course/meet-your-brain/,udemy,"Explore the intricacies of human behavior and emotions through neuroscience in this short, free course. Understand stress, motivations, self-control, and more with engaging, easy-to-digest content.",,/provider/udemy,free,classCentral,en
How Black Holes Became Real,/course/world-science-u-how-black-holes-became-real-58214,https://worldscienceu.com/,worldscienceu,Astrophysicist Priyamvada Natarajan explains the science of supermassive black holes from their birth to how they impact the development of their galaxies,,/university/yale,free,classCentral,en
Get started with data engineering on Azure,/course/microsoft-learn-get-started-with-data-engineering-on-azure-262453,https://learn.microsoft.com/en-us/training/paths/get-started-data-engineering/,microsoft-learn,Module 1: This module describes how Microsoft Azure provides a comprehensive platform for data engineering.In this module you will learn how to:  Identify common data engineering tasks Describe common data engineering concepts Identify Azure services for…,2 hours 18 minutes,/institution/microsoft,free,classCentral,en
Innovating with Data and Google Cloud,/course/innovating-with-data-and-google-cloud-199836,https://www.cloudskillsboost.google/course_templates/280,cloudskillsboost,"Explore the power of data and cloud technology with Google's online course. Learn about data types, data management, Google Cloud products, and how to innovate using machine learning.",8 hours,/institution/google,free,classCentral,en
Practising science: Reading the rocks and ecology,/course/openlearn-science-maths-technology-geology-practising-science-reading-the-rocks-and-ecology-95632,https://www.open.edu/openlearn/science-maths-technology/geology/practising-science-reading-the-rocks-and-ecology/content-section-0,openlearn,"Have you ever wondered how scientists analyse the environment? This free course, Practising science: Reading the rocks and ecology, introduces you to the techniques used by science students at ...",14 hours,/university/tou,free,classCentral,en
Project ECHO Diabetes in the Time of COVID-19: Tackling Therapeutic Inertia: American Diabetes Association Standard of Care Updates (Recorded Webinar),/course/project-echo-diabetes-in-the-time-of-covid-19-tac-106802,https://stanford.cloud-cme.com/course/courseoverview,independent,"Stanford University's online course empowers primary care providers to manage diabetes in the COVID-19 era, focusing on underserved patients and high-risk outcomes.",,/university/stanford,free,classCentral,en
In Focus: Through the Lens,/course/creativelive-photo-week-2017-keynote-nigel-barker-128692,https://www.creativelive.com/class/photo-week-2017-keynote-nigel-barker,creativelive,In Focus: Through the Lens with Nigel Barker,1 hour 4 minutes,/provider/creativelive,free,classCentral,en
Petroleum Economics and Management,/course/swayam-petroleum-economics-and-management-119522,https://onlinecourses.nptel.ac.in/noc24_hs02/preview,swayam,"Explore petroleum economics and management with IIT Kharagpur's 12-week course. Learn about microeconomics, petroleum industry evolution, pricing dynamics, and the impact of global events on oil markets.",12 weeks,/university/iit-kharagpur,free,classCentral,en
Rural Resilience: Farm Stress Training,/course/desire2learn-rural-resilience-farm-stress-training-20993,https://opencoursesstore.d2l.com/product,desire2learn,"In this course, you will learn to recognize the signs and symptoms of stress and suicide, ways to effectively communicate with people under stress, and how to reduce stigma related to mental health concerns. What you learn in this course can help your fr…",,/university/mst,free,classCentral,en
Advanced Agile with Scrum and Kanban,/course/advanced-agile-with-scrum-and-kanban-sc-102599,https://www.futurelearn.com/courses/advanced-agile-with-scrum-and-kanban-sc,futurelearn,Develop your Agile knowledge as you explore key frameworks to help improve your process efficiency.,"7 weeks, 3 hours a week",/university/uci,free,classCentral,en
Modern China’s Foundations: The Manchus and the Qing,/course/chinese-history-harvard-university-modern-chinas--1986,https://www.edx.org/learn/chinese-history/harvard-university-modern-chinas-foundations-the-manchus-and-the-qing,edx,Learn how the Manchus conquered the Qing and established the last of the imperial dynasties.,"15 weeks, 1-3 hours a week",/university/harvard,free,classCentral,en
Machine Learning Essentials for Business and Technical Decision Makers,/course/machine-learning-essentials-for-business-and-tech-73448,https://explore.skillbuilder.aws/learn/course/external/view/elearning/1404/machine-learning-essentials-for-business-and-technical-decision-makers,aws-skill-builder,"Learn to integrate machine learning into business processes with Amazon Web Services. Understand ML basics, project requirements, and organizational adaptation for ML success in under 90 minutes.",,/institution/aws,free,classCentral,en
Gender and Environment,/course/un-cc-e-learn-gender-and-environment-116565,https://unccelearn.org/course/view.php,unccelearn,This course helps you better understand the linkages between gender and the environment and become an effective change-maker for sustainable development. It contains six modules which takes around 1 hour to complete.&nbsp; You need to pass a quiz after t…,6 hours,/provider/unccelearn,free,classCentral,en
Learn to Paint with Len Hend,/course/openlearning-learn-to-paint-with-len-hend-3754,https://www.openlearning.com/courses/painting/,openlearning,"Painting is little like driving. Before you hit the road, you study traffic rules, you choose your new four-wheel buddy and drive. The more you drive, the better you go! Practice makes the perfect driver and also the perfect painter.         In this course,…",30 weeks,/provider/openlearning,free,classCentral,en
Principles of Project Management,/course/open2study-principles-of-project-management-900,https://www.open2study.com/courses/principles-of-project-management,open2study,"Learn the basics of project management, including what a project is and how to manage one effectively.",4 weeks,/university/polywest,free,classCentral,en
Learn Angular 4 from Scratch,/course/udemy-learn-angular-from-scratch-61251,https://www.udemy.com/course/learn-angular-from-scratch/,udemy,"Master Angular 4 with this free course. Learn to install apps, understand components, integrate UI animations, create services, and deploy an app. No prior experience required.",1 hour 20 minutes,/provider/udemy,free,classCentral,en
The Dark Side of the Universe,/course/world-science-u-the-dark-side-of-the-universe-58232,https://worldscienceu.com/courses/the-dark-side-of-the-universe-michael-turner/,worldscienceu,"In 1998, theoretical cosmologist Michael Turner coined the term “dark energy.” Since then, he has worked to combine cosmology and particle physics to understand the origin and evolution of the universe.",,/university/chicago,free,classCentral,en
MD-102 Configure profiles for user and devices,/course/microsoft-learn-md-102-configure-profiles-for-user-and-devices-262468,https://learn.microsoft.com/en-us/training/paths/configure-profiles-user-device/,microsoft-learn,"Module 1: Students learn about the various types of device profiles, and how to create and manage them.After completing this module, you will be able to:  Describe the various types of device profiles in Intune. Explain the difference between built-in an…",1 hour 3 minutes,/institution/microsoft,free,classCentral,en
Introduction to Generative AI Studio,/course/introduction-to-generative-ai-studio-199885,https://www.cloudskillsboost.google/course_templates/552,cloudskillsboost,"Learn to prototype and customize generative AI models with Google's Generative AI Studio on Vertex AI, featuring demos, a hands-on lab, and a quiz.",8 hours,/institution/google,free,classCentral,en
Introduction to cyber security: stay safe online,/course/openlearn-introduction-to-cyber-security-stay-safe-online-263156,https://www.open.edu/openlearn/digital-computing/introduction-cyber-security-stay-safe-online/content-section-overview,openlearn,"Our lives depend on online services. Gain essential cyber security knowledge and skills, to help protect your digital life.We shop online. We work online. We play online. We live online. As our lives increasingly depend on digital services, the need to p…",24 hours,/university/tou,free,classCentral,en
Shoulder MRI Basic Axial Anatomy,/course/shoulder-mri-basic-axial-anatomy-106820,https://stanford.cloud-cme.com/course/courseoverview,independent,"Stanford University offers a continuing medical education course on basic axial anatomy of the shoulder using MRI, presented by the Radiology Department.",,/university/stanford,free,classCentral,en
Automating your API tests with REST Assured,/course/tau-automating-your-api-tests-with-rest-assured-43720,https://testautomationu.applitools.com/automating-your-api-tests-with-rest-assured/,tau,Learn to automate your API tests using REST Assured,1 hour,/provider/tau,free,classCentral,en
Behind the Podcast : Lewis Howes on The Chase Jarvis Show,/course/creativelive-behind-the-podcast-the-chase-jarvis--128707,https://www.creativelive.com/class/behind-the-podcast-the-chase-jarvis-show-lewis-howes,creativelive,"Behind the Podcast : Lewis Howes on The Chase Jarvis Show with Chase Jarvis, Lewis Howes",1 hour 34 minutes,/provider/creativelive,free,classCentral,en
Cyber Security Tools Techniques and Counter Measures,/course/swayam-cyber-security-tools-techniques-and-counter-measures-58431,https://onlinecourses.swayam2.ac.in/nou24_ge24/preview,swayam,"The course Cyber Security, Tools, Techniques and Countermeasures aims to provide a foundational platform for Cyber Security Aspirants. The course focuses on covering all cyber security landscapes theoretically and practically. The program focuses on both…",12 weeks,/university/ignou,free,classCentral,en
Behavior Analysis & Therapy and Autism Spectrum Disorders,/course/desire2learn-behavior-analysis-therapy-and-autism-spectrum-disorders-2928,https://opencourses.desire2learn.com/d2l/login,desire2learn,This course provides an overview of behavioral interventions for persons with autism spectrum disorders.,10 weeks,/university/siu,free,classCentral,en
COVID-19: Psychological First Aid,/course/psychological-first-aid-covid-19-20212,https://www.futurelearn.com/courses/psychological-first-aid-covid-19,futurelearn,Get psychological first aid (PFA) training and help people with different needs to cope with the emotional impact of COVID-19.,"3 weeks, 1 hour a week",/institution/public-health-england,free,classCentral,en
CS50's Introduction to Game Development,/course/game-development-harvard-university-cs50-s-introd-11504,https://www.edx.org/learn/game-development/harvard-university-cs50-s-introduction-to-game-development,edx,"Learn about the development of 2D and 3D interactive games in this hands-on course, as you explore the design of games such as Super Mario Bros., Pokémon, Angry Birds, and more.","12 weeks, 6-9 hours a week",/university/harvard,free,classCentral,en
Twitch Series: AWS Power Hour Amazon Comprehend,/course/twitch-series-aws-power-hour-amazon-comprehend-73102,https://explore.skillbuilder.aws/learn/course/external/view/elearning/1861/twitch-series-aws-power-hour-amazon-comprehend,aws-skill-builder,"Learn to use Amazon Comprehend, an NLP service for text insights, with this 65-minute course by Amazon Web Services. Ideal for developers and data engineers.",,/institution/aws,free,classCentral,en
Fundamentals on REDD+,/course/un-cc-e-learn-fundamentals-on-redd-116561,https://unccelearn.org/course/view.php,unccelearn,"Fundamentals on REDD+ covers the basics of REDD+, from the elements required under the UNFCCC to how to prepare and implement REDD+ at the national level including financial resource available. It is structured into 6 modules, and each module takes aroun…",12 hours,/provider/unccelearn,free,classCentral,en
Effective Communication for Successful Leadership,/course/openlearning-effective-communication-for-successful-leadership-7438,https://learn.com.au/courses/bsbldr401/,openlearning,Communicate effectively as a workplace leader,60 hours,/provider/openlearning,free,classCentral,en
Becoming Human: Anthropology,/course/open2study-becoming-human-anthropology-892,https://www.open2study.com/courses/becoming-human-anthropology,open2study,"Gain an introductory understanding of evolution, including how we evolved from primates and became human.",4 weeks,/university/macquarie,free,classCentral,en
Introduction to Data Science using Python (Module 1/3),/course/udemy-introduction-to-data-science-using-python-25723,https://www.udemy.com/course/introduction-to-data-science-using-python/,udemy,"Dive into Data Science with this beginner-friendly course. Learn the basics, understand buzzwords, and get hands-on with Python and Scikit Learn. Offered in 3 modules.",2 hours 32 minutes,/provider/udemy,free,classCentral,en
Use the Microsoft service adoption framework to drive adoption in your enterprise,/course/microsoft-learn-use-the-microsoft-service-adoption-framework-to-drive-adoption-in-your-enterprise-262571,https://learn.microsoft.com/en-us/training/paths/m365-service-adoption/,microsoft-learn,"Module 1: Overview of the service adoption framework and its applicationAt the end of this module, you should be able to:  Understand the service adoption framework and the key knowledge areas  Module 2: In the first phase of the service adoption framewo…",2 hours 25 minutes,/institution/microsoft,free,classCentral,en
Security Practices with Chronicle SIEM - Locales,/course/google-cloud-skills-boost-security-practices-with-chronicle-siem-locales-272744,https://www.cloudskillsboost.google/paths,cloudskillsboost,"This course, Security Practices with Chronicle SIEM - Locales, is intended for non-English learners. If you want to take this course in English, please enroll in Security Practices with Chronicle SIEM. Learn the technical aspects you need to know about C…",3 hours 15 minutes,/institution/google,free,classCentral,en
Beginners’ Spanish: Getting around,/course/openlearn-languages-spanish-beginners-spanish-getting-around-95377,https://www.open.edu/openlearn/languages/spanish/beginners-spanish-getting-around/content-section-0,openlearn,"Do you want to improve your language skills and communicate more easily and effectively in Spanish? This free course, Beginners’ Spanish: Getting around, concentrates on Spanish as a tool for ...",20 hours,/university/tou,free,classCentral,en
Imaging of the Hip: More Radiographic Essentials!,/course/imaging-of-the-hip-more-radiographic-essentials-106836,https://stanford.cloud-cme.com/course/courseoverview,independent,"Stanford University offers an online course on essential skills for interpreting hip radiographs, presented by their Radiology Department.",,/university/stanford,free,classCentral,en
Behavior Driven Python with pytest-bdd,/course/tau-behavior-driven-python-with-pytest-bdd-43730,https://testautomationu.applitools.com/behavior-driven-python-with-pytest-bdd/,tau,Learn how to write behavior-driven tests in Python,1 hour 36 minutes,/provider/tau,free,classCentral,en
Conquer Fear & Self-Doubt,/course/creativelive-conquer-fear-self-doubt-128723,https://www.creativelive.com/class/conquer-fear-self-doubt,creativelive,"Conquer Fear & Self-Doubt with Amanda Crew, Chase Jarvis",1 hour 30 minutes,/provider/creativelive,free,classCentral,en
Early Childhood Care and Education,/course/swayam-early-childhood-care-and-education-14020,https://onlinecourses.swayam2.ac.in/cec23_ed29/preview,swayam,"The course is targeted for people who intend to start a new preschool/playschool/day-care, or upgrade an existing preschool, or to take up a career as a teacher in preschool, or to improve admission counseling skills or to be trained on the various eleme…",15 weeks,/institution/cec,free,classCentral,en
Learn JavaScript ,/course/scrimba-learnjavascript-86266,https://scrimba.com/learn/learnjavascript,scrimba,"Learn the basics of JavaScript by solving 140+ interactive coding challenges. Along the way you will build a game, a browser extension, and even a mobile app!",8 hours 53 minutes,/provider/scrimba,free,classCentral,en
Teachers + Mobile = Creative Classrooms,/course/desire2learn-teachers-mobile-creative-classrooms-2931,https://www.classcentral.com/course/desire2learn-teachers-mobile-creative-classrooms-2931/Teachers%20+%20Mobile%20=%20Creative%20Classrooms,desire2learn,This course will provide participants with sound pedagogical practices to embed mobile technologies into teaching and learning and build their students' 21st century skills by providing ideas for both formative and summative assessments.,4 weeks,/university/wilkes,free,classCentral,en
Introduction to Business Management,/course/introduction-to-business-management-19005,https://www.futurelearn.com/courses/introduction-to-business-management,futurelearn,"Discover how to manage people, money and information, and gain confidence and insight into your own management style.","4 weeks, 4 hours a week",/university/kcl,free,classCentral,en
Supply Chain Fundamentals,/course/supply-chain-design-massachusetts-institute-of-te-2140,https://www.edx.org/learn/supply-chain-design/massachusetts-institute-of-technology-supply-chain-fundamentals,edx,Learn fundamental concepts for logistics and supply chain management from both analytical and practical perspectives – part of the MITx MicroMasters Credential in Supply Chain Management.,"13 weeks, 8-12 hours a week",/university/mit,free,classCentral,en
Build a Text Classification Model with AWS Glue and Amazon SageMaker,/course/build-a-text-classification-model-with-aws-glue-a-72912,https://explore.skillbuilder.aws/learn/course/external/view/elearning/4501/build-a-text-classification-model-with-aws-glue-and-amazon-sagemaker,aws-skill-builder,"Learn to use AWS Glue and Amazon SageMaker to prepare data, train a text classification model, and deploy it, in less than an hour with Amazon Web Services.",,/institution/aws,free,classCentral,en
How to prevent e-waste?,/course/un-cc-e-learn-how-to-prevent-e-waste-116543,https://unccelearn.org/course/view.php,unccelearn,Welcome to:How to prevent e-waste?A citizen’s approach to solving the e-waste crisise-learning course,2 hours,/provider/unccelearn,free,classCentral,en
Climate Change,/course/open2study-climate-change-1175,https://www.open2study.com/courses/climate-change,open2study,"Find out how climate change will affect us, why we should care about it, and what solutions we can employ.",4 weeks,/university/macquarie,free,classCentral,en
Eclipse IDE for Beginners: Increase Your Java Productivity,/course/udemy-luv2code-eclipse-ide-for-beginners-61248,https://www.udemy.com/course/luv2code-eclipse-ide-for-beginners/,udemy,This course delivers the step-by-step guidance to help you master the core topics and techniques with Eclipse.,1 hour 2 minutes,/provider/udemy,free,classCentral,en
